ticker, time, price, volume 
amzn, 16:00:00, 1123.17, 122397 
amzn, 15:59:00, 1122.10, 12691
amzn, 15:58:00, 1122.33, 11181
amzn, 15:57:00, 1122.23, 6894
amzn, 15:56:00, 1122.00, 5294
amzn, 15:55:00, 1122.68, 10443
amzn, 15:54:00, 1122.53, 5311
amzn, 15:53:00, 1122.52, 5422 
amzn, 15:52:00, 1122.62, 4804 
amzn, 15:51:00, 1123.18, 7430 
amzn, 15:50:00, 1123.18, 6867 
amzn, 15:49:00, 1121.84, 3050 
amzn, 15:48:00, 1121.91, 4128 
amzn, 15:47:00, 1122.36, 3315 
amzn, 15:46:00, 1122.89, 3508 
amzn, 15:45:00, 1123.25, 2833 
amzn, 15:44:00, 1123.18, 3000 
amzn, 15:43:00, 1123.33, 2800 
amzn, 15:42:00, 1122.86, 10300 
amzn, 15:41:00, 1122.81, 3500 
amzn, 15:40:00, 1122.74, 4139 
amzn, 15:39:00, 1122.50, 4794
amzn, 15:38:00, 1122.41, 1100 
amzn, 15:37:00, 1122.63, 2400 
amzn, 15:36:00, 1122.46, 3950 
amzn, 15:35:00, 1122.32, 2100 
amzn, 15:34:00, 1122.23, 2000 
amzn, 15:33:00, 1122.49, 1200 
amzn, 15:32:00, 1122.49, 2415 
amzn, 15:31:00, 1122.20, 4008 
amzn, 15:30:00, 1122.00, 1000 
amzn, 15:29:00, 1121.67, 3400 
amzn, 15:28:00, 1121.35, 2400 
amzn, 15:27:00, 1121.79, 2080 
amzn, 15:26:00, 1121.87, 600 
amzn, 15:25:00, 1121.83, 5092 
amzn, 15:24:00, 1121.87, 2930 
amzn, 15:23:00, 1122.18, 4082 
amzn, 15:22:00, 1122.26, 6916 
amzn, 15:21:00, 1122.90, 1134 
amzn, 15:20:00, 1123.09, 1400 
amzn, 15:19:00, 1123.53, 3310 
amzn, 15:18:00, 1123.31, 710 
amzn, 15:17:00, 1123.39, 1900 
amzn, 15:16:00, 1123.48, 1583 
amzn, 15:15:00, 1123.08, 3000 
amzn, 15:14:00, 1123.25, 1377 
amzn, 15:13:00, 1123.75, 1088 
amzn, 15:12:00, 1123.79, 3903 
amzn, 15:11:00, 1124.12, 800 
amzn, 15:10:00, 1123.73, 1250 
amzn, 15:09:00, 1123.88, 4101 
amzn, 15:08:00, 1123.54, 200 
amzn, 15:07:00, 1123.45, 1700 
amzn, 15:06:00, 1123.58, 800 
amzn, 15:05:00, 1123.40, 2100 
amzn, 15:04:00, 1123.86, 2400 
amzn, 15:03:00, 1123.60, 600 
amzn, 15:02:00, 1123.91, 1700 
amzn, 15:01:00, 1123.33, 3005 
amzn, 15:00:00, 1124.00, 800 
amzn, 14:59:00, 1123.97, 3490 
amzn, 14:58:00, 1124.36, 2269 
amzn, 14:57:00, 1124.30, 3453 
amzn, 14:56:00, 1124.22, 1800 
amzn, 14:55:00, 1124.14, 1200 
amzn, 14:54:00, 1123.93, 900 
amzn, 14:53:00, 1123.84, 2500 
amzn, 14:52:00, 1123.92, 1300 
amzn, 14:51:00, 1123.76, 2500 
amzn, 14:50:00, 1123.55, 1533 
amzn, 14:49:00, 1123.79, 1301 
amzn, 14:48:00, 1123.77, 2140 
amzn, 14:47:00, 1123.91, 3500 
amzn, 14:46:00, 1124.27, 1100 
amzn, 14:45:00, 1123.80, 2479 
amzn, 14:44:00, 1124.30, 3831 
amzn, 14:43:00, 1124.19, 4598 
amzn, 14:42:00, 1123.93, 3029 
amzn, 14:41:00, 1123.65, 1802 
amzn, 14:40:00, 1123.79, 2200
amzn, 14:39:00, 1123.54, 1600 
amzn, 14:38:00, 1123.43, 2800 
amzn, 14:37:00, 1123.30, 500 
amzn, 14:36:00, 1123.05, 800 
amzn, 14:35:00, 1122.85, 1100 
amzn, 14:34:00, 1122.93, 1530
amzn, 14:33:00, 1122.98, 3040
amzn, 14:32:00, 1122.98, 450
amzn, 14:31:00, 1123.00, 400
amzn, 14:30:00, 1122.90, 2822
amzn, 14:29:00, 1122.63, 500
amzn, 14:28:00, 1123.03, 3617
amzn, 14:27:00, 1122.89, 600
amzn, 14:26:00, 1122.79, 700
amzn, 14:25:00, 1122.66, 2800
amzn, 14:24:00, 1122.75, 2859
amzn, 14:23:00, 1123.09, 1150
amzn, 14:22:00, 1123.30, 1321 
amzn, 14:21:00, 1122.89, 1200
